age,weight,height,income_lpa,smoker,city,occupation,insurance_premium_category
67,119.8,1.56,2.92,FALSE,Jaipur,retired,High
36,101.1,1.83,34.28,FALSE,Chennai,freelancer,Low
39,56.8,1.64,36.64,FALSE,Indore,freelancer,Low
22,109.4,1.55,3.34,TRUE,Mumbai,student,Medium
69,62.2,1.6,3.94,TRUE,Indore,retired,High
53,62.9,1.66,50,FALSE,Kota,freelancer,Medium
19,80.1,1.68,3.59,TRUE,Hyderabad,student,Medium
31,105.7,1.78,10.86582077,TRUE,Delhi,government_job,Medium
73,58,1.58,1.78,FALSE,Chandigarh,retired,Medium
58,74.4,1.73,43.07,FALSE,Pune,business_owner,Low
29,71.9,1.77,32.78,TRUE,Chennai,business_owner,Medium
25,77.2,1.56,10.8993866,TRUE,Pune,government_job,Low
42,95.2,1.78,17.58,TRUE,Chandigarh,freelancer,High
28,93.4,1.84,11.95,FALSE,Kolkata,freelancer,Low
49,89.3,1.65,13.50516648,FALSE,Kota,government_job,Medium
61,61.7,1.68,2.99,TRUE,Delhi,retired,Medium
66,70.2,1.59,0.61,FALSE,Pune,retired,Medium
65,90.1,1.7,2.23,FALSE,Delhi,retired,Medium
52,80.9,1.8,38.14,TRUE,Kota,business_owner,High
24,111.2,1.6,2.79,TRUE,Lucknow,student,High
34,58.2,1.85,30.65,TRUE,Gaya,business_owner,Medium
69,92.7,1.84,2.91,FALSE,Jalandhar,retired,High
57,106.4,1.83,30,FALSE,Chandigarh,government_job,Low
35,70.3,1.78,23.71,FALSE,Mysore,unemployed,Medium
50,54.2,1.66,18.6,FALSE,Mysore,private_job,Medium
59,60.2,1.55,30,FALSE,Mysore,government_job,Low
33,79,1.61,23.61,FALSE,Jaipur,freelancer,Medium
58,111.4,1.78,34.33,FALSE,Lucknow,private_job,Medium
38,101.2,1.79,11.63,FALSE,Mumbai,unemployed,Low
60,117.8,1.66,50,TRUE,Lucknow,business_owner,High
35,89.6,1.73,32.97,FALSE,Delhi,business_owner,Low
39,51.1,1.83,11.77,TRUE,Lucknow,private_job,Medium
47,113.7,1.9,50,FALSE,Jalandhar,private_job,Medium
73,67.5,1.76,1.46,FALSE,Mumbai,retired,Medium
75,100.8,1.75,0.68,TRUE,Kota,retired,High
59,59.3,1.69,43.28,TRUE,Chandigarh,private_job,Medium
61,58.4,1.64,0.53,FALSE,Hyderabad,retired,Medium
26,57.2,1.79,8.09,FALSE,Indore,freelancer,Medium
74,111.2,1.83,1.84,TRUE,Jaipur,retired,High
51,100.6,1.68,11.99,TRUE,Bangalore,unemployed,High
44,57,1.53,40.19,TRUE,Pune,unemployed,Medium
64,59.8,1.63,3.87,FALSE,Mumbai,retired,Medium
23,69.9,1.79,2.6,TRUE,Mysore,student,Medium
72,85.7,1.71,1.56,FALSE,Chennai,retired,Medium
59,77,1.6,50,TRUE,Lucknow,private_job,Medium
58,75.3,1.5,18.39,FALSE,Jalandhar,unemployed,High
42,83,1.57,25.57,TRUE,Kolkata,unemployed,High
